model_family,model_version,step_number,step_name,tool_selection,parameter_accuracy,output_compatibility,scientific_validity,executability,notes
chatgpt,gpt4o,1,basecalling,,,,,,
chatgpt,gpt4o,2,quality_control,,,,,,
chatgpt,gpt4o,3,host_depletion,,,,,,
chatgpt,gpt4o,4,taxonomic_classification,,,,,,
chatgpt,gpt4o,5,assembly,,,,,,
chatgpt,gpt4o,6,binning,,,,,,
chatgpt,gpt4o,7,functional_annotation,,,,,,
chatgpt,o3_mini,1,basecalling,,,,,,
chatgpt,o3_mini,2,quality_control,,,,,,
chatgpt,o3_mini,3,host_depletion,,,,,,
chatgpt,o3_mini,4,taxonomic_classification,,,,,,
chatgpt,o3_mini,5,assembly,,,,,,
chatgpt,o3_mini,6,binning,,,,,,
chatgpt,o3_mini,7,functional_annotation,,,,,,
chatgpt,o3_high,1,basecalling,,,,,,
chatgpt,o3_high,2,quality_control,,,,,,
chatgpt,o3_high,3,host_depletion,,,,,,
chatgpt,o3_high,4,taxonomic_classification,,,,,,
chatgpt,o3_high,5,assembly,,,,,,
chatgpt,o3_high,6,binning,,,,,,
chatgpt,o3_high,7,functional_annotation,,,,,,
claude,sonnet_3.5,1,basecalling,,,,,,
claude,sonnet_3.5,2,quality_control,,,,,,
claude,sonnet_3.5,3,host_depletion,,,,,,
claude,sonnet_3.5,4,taxonomic_classification,,,,,,
claude,sonnet_3.5,5,assembly,,,,,,
claude,sonnet_3.5,6,binning,,,,,,
claude,sonnet_3.5,7,functional_annotation,,,,,,
claude,sonnet_4,1,basecalling,,,,,,
claude,sonnet_4,2,quality_control,,,,,,
claude,sonnet_4,3,host_depletion,,,,,,
claude,sonnet_4,4,taxonomic_classification,,,,,,
claude,sonnet_4,5,assembly,,,,,,
claude,sonnet_4,6,binning,,,,,,
claude,sonnet_4,7,functional_annotation,,,,,,
gemini,2.0_flash,1,basecalling,,,,,,
gemini,2.0_flash,2,quality_control,,,,,,
gemini,2.0_flash,3,host_depletion,,,,,,
gemini,2.0_flash,4,taxonomic_classification,,,,,,
gemini,2.0_flash,5,assembly,,,,,,
gemini,2.0_flash,6,binning,,,,,,
gemini,2.0_flash,7,functional_annotation,,,,,,
gemini,2.5_pro_preview,1,basecalling,,,,,,
gemini,2.5_pro_preview,2,quality_control,,,,,,
gemini,2.5_pro_preview,3,host_depletion,,,,,,
gemini,2.5_pro_preview,4,taxonomic_classification,,,,,,
gemini,2.5_pro_preview,5,assembly,,,,,,
gemini,2.5_pro_preview,6,binning,,,,,,
gemini,2.5_pro_preview,7,functional_annotation,,,,,,
